claim_text,claim_value,kind,paper_section,line_number,source_file,source_command,match_status
95%,95,pct,### 5.1 Headline Model Comparison,233,experiments/results/canonical/headline.json,python3 experiments/run_canonical.py,PENDING
Sharpe of 0.499,0.499,sharpe,### 5.8 Honest Sharpe-Ratio Accounting,372,experiments/results/canonical/headline.json,python3 experiments/run_canonical.py,PENDING
Sharpe 1.0,1.0,sharpe,### 5.8 Honest Sharpe-Ratio Accounting,383,experiments/results/canonical/headline.json,python3 experiments/run_canonical.py,PENDING
Sharpe of 0.499,0.499,sharpe,### 5.8 Honest Sharpe-Ratio Accounting,385,experiments/results/canonical/headline.json,python3 experiments/run_canonical.py,PENDING
15.0 bps,15.0,bps,### 5.8 Honest Sharpe-Ratio Accounting,385,experiments/results/canonical/headline.json,python3 experiments/run_canonical.py,PENDING
5 bps,5,bps,### 5.8 Honest Sharpe-Ratio Accounting,385,experiments/results/canonical/headline.json,python3 experiments/run_canonical.py,PENDING
15 bps,15,bps,### 5.8 Honest Sharpe-Ratio Accounting,385,experiments/results/canonical/headline.json,python3 experiments/run_canonical.py,PENDING
0.5 bps,0.5,bps,### 5.8 Honest Sharpe-Ratio Accounting,385,experiments/results/canonical/headline.json,python3 experiments/run_canonical.py,PENDING
9.6 bps,9.6,bps,### 5.8 Honest Sharpe-Ratio Accounting,385,experiments/results/canonical/headline.json,python3 experiments/run_canonical.py,PENDING
5 bps,5,bps,### 5.8 Honest Sharpe-Ratio Accounting,385,experiments/results/canonical/headline.json,python3 experiments/run_canonical.py,PENDING
\$100,100,dollar,### 5.8 Honest Sharpe-Ratio Accounting,385,experiments/results/canonical/headline.json,python3 experiments/run_canonical.py,PENDING
0.5 bps,0.5,bps,### 6.3 The Negative Result on PPO,646,experiments/results/canonical/headline.json,python3 experiments/run_canonical.py,PENDING
9.6 bps,9.6,bps,### 6.3 The Negative Result on PPO,646,experiments/results/canonical/headline.json,python3 experiments/run_canonical.py,PENDING
9 bps,9,bps,### 6.3 The Negative Result on PPO,646,experiments/results/canonical/headline.json,python3 experiments/run_canonical.py,PENDING
\$100,100,dollar,### 6.3 The Negative Result on PPO,646,experiments/results/canonical/headline.json,python3 experiments/run_canonical.py,PENDING
\$0.50,0.50,dollar,### 6.3 The Negative Result on PPO,646,experiments/results/canonical/headline.json,python3 experiments/run_canonical.py,PENDING
Sharpe 0.501,0.501,sharpe,## 8. Conclusions,702,experiments/results/canonical/headline.json,python3 experiments/run_canonical.py,PENDING
Sharpe 0.499,0.499,sharpe,## 8. Conclusions,702,experiments/results/canonical/headline.json,python3 experiments/run_canonical.py,PENDING
Sharpe 0.473,0.473,sharpe,## 8. Conclusions,702,experiments/results/canonical/headline.json,python3 experiments/run_canonical.py,PENDING
Sharpe 0.459,0.459,sharpe,## 8. Conclusions,702,experiments/results/canonical/headline.json,python3 experiments/run_canonical.py,PENDING
15.0 bps,15.0,bps,## 8. Conclusions,702,experiments/results/canonical/headline.json,python3 experiments/run_canonical.py,PENDING
14.9 bps,14.9,bps,## 8. Conclusions,702,experiments/results/canonical/headline.json,python3 experiments/run_canonical.py,PENDING
14.3 bps,14.3,bps,## 8. Conclusions,702,experiments/results/canonical/headline.json,python3 experiments/run_canonical.py,PENDING
14.0 bps,14.0,bps,## 8. Conclusions,702,experiments/results/canonical/headline.json,python3 experiments/run_canonical.py,PENDING
1.0 bps,1.0,bps,## 8. Conclusions,702,experiments/results/canonical/headline.json,python3 experiments/run_canonical.py,PENDING
0.5 bps,0.5,bps,## 8. Conclusions,702,experiments/results/canonical/headline.json,python3 experiments/run_canonical.py,PENDING
\$100,100,dollar,## 8. Conclusions,702,experiments/results/canonical/headline.json,python3 experiments/run_canonical.py,PENDING
+\$232.67,232.67,dollar,## 8. Conclusions,702,experiments/results/canonical/headline.json,python3 experiments/run_canonical.py,PENDING
+\$232.83,232.83,dollar,## 8. Conclusions,702,experiments/results/canonical/headline.json,python3 experiments/run_canonical.py,PENDING
+\$221.84,221.84,dollar,## 8. Conclusions,702,experiments/results/canonical/headline.json,python3 experiments/run_canonical.py,PENDING
+\$212.50,212.50,dollar,## 8. Conclusions,702,experiments/results/canonical/headline.json,python3 experiments/run_canonical.py,PENDING
+\$4.61,4.61,dollar,## 8. Conclusions,702,experiments/results/canonical/headline.json,python3 experiments/run_canonical.py,PENDING
+\$158.15,158.15,dollar,## 8. Conclusions,702,experiments/results/canonical/headline.json,python3 experiments/run_canonical.py,PENDING
10%,10,pct,## 8. Conclusions,702,experiments/results/canonical/headline.json,python3 experiments/run_canonical.py,PENDING
+\$10.73,10.73,dollar,## 8. Conclusions,706,experiments/results/canonical/headline.json,python3 experiments/run_canonical.py,PENDING
76.5%,76.5,pct,## 8. Conclusions,706,experiments/results/canonical/headline.json,python3 experiments/run_canonical.py,PENDING
"per-trade Sharpe of 0.501 (leaky) → 0.516 (leakage-free purged split)",0.516,sharpe,## 8. Conclusions,710,experiments/results/audit/sharpe_audit_purged.json,PYTHONPATH=. python3 experiments/audit/audit_sharpe_purged.py,PASS: Plan 18-07 replaced the un-derivable ≈ 3.2 per-pair annualized claim in §8 item 5 with the leakage-free per-trade Sharpe headline matching the new abstract.
